Label (Grouping),Year,Total:,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $19,999","    $20,000 to $24,999","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 to $89,999","    $90,000 to $99,999","    $100,000 to $124,999","    $125,000 to $149,999","    $150,000 to $174,999","    $175,000 to $199,999","    $200,000 to $249,999","    $250,000 to $299,999","    $300,000 to $399,999","    $400,000 to $499,999","    $500,000 to $749,999","    $750,000 to $999,999","    $1,000,000 to $1,499,999","    $1,500,000 to $1,999,999","    $2,000,000 or more"
Census Tract 16.01; Multnomah County; Oregon!!Estimate,2022,"1,686",26,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,11,0,0,67,296,791,357,99,13,0
Census Tract 16.02; Multnomah County; Oregon!!Estimate,2022,"1,504",21,35,0,0,8,0,0,0,0,0,0,0,29,0,0,0,8,30,28,527,662,137,19,0,0,0
Census Tract 17.02; Multnomah County; Oregon!!Estimate,2022,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,65,75,400,252,0,0,0,3
Census Tract 17.03; Multnomah County; Oregon!!Estimate,2022,"1,112",0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,77,15,49,141,335,438,31,0,0,0
Census Tract 17.04; Multnomah County; Oregon!!Estimate,2022,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,176,170,370,64,0,0,0
Census Tract 18.01; Multnomah County; Oregon!!Estimate,2022,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,188,377,75,0,0,0
Census Tract 18.02; Multnomah County; Oregon!!Estimate,2022,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,83,9,97,423,169,23,13,0
Census Tract 19; Multnomah County; Oregon!!Estimate,2022,"1,606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,24,356,866,236,78,28
Census Tract 20.01; Multnomah County; Oregon!!Estimate,2022,425,0,0,0,0,0,0,0,0,8,0,0,0,0,29,0,0,0,0,0,61,38,192,51,30,16,0
Census Tract 20.02; Multnomah County; Oregon!!Estimate,2022,340,16,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,20,0,44,119,103,21,0,0
Census Tract 21.01; Multnomah County; Oregon!!Estimate,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Census Tract 21.02; Multnomah County; Oregon!!Estimate,2022,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18,36,31,2,0,0
Census Tract 22.03; Multnomah County; Oregon!!Estimate,2022,688,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,112,369,137,45,4,0
Census Tract 23.03; Multnomah County; Oregon!!Estimate,2022,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,13,21,9,11,0,89,55,0,0,0
Census Tract 24.01; Multnomah County; Oregon!!Estimate,2022,890,0,0,0,0,0,0,0,0,0,0,4,0,0,78,0,0,0,0,0,0,17,189,378,176,48,0
Census Tract 24.02; Multnomah County; Oregon!!Estimate,2022,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,93,96,33,244,48,78,0,18
Census Tract 25.01; Multnomah County; Oregon!!Estimate,2022,"1,638",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,11,18,356,734,436,73,0
Census Tract 25.02; Multnomah County; Oregon!!Estimate,2022,743,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,57,45,63,170,140,196,0,35
Census Tract 26; Multnomah County; Oregon!!Estimate,2022,"1,126",0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,22,24,423,353,188,8,0
Census Tract 27.01; Multnomah County; Oregon!!Estimate,2022,"1,137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,584,355,158,8,0
Census Tract 27.02; Multnomah County; Oregon!!Estimate,2022,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,33,38,353,200,14,0,0
Census Tract 28.01; Multnomah County; Oregon!!Estimate,2022,"1,080",0,0,0,0,0,0,8,0,0,0,13,0,0,0,0,0,0,0,0,28,65,463,427,76,0,0
Census Tract 28.02; Multnomah County; Oregon!!Estimate,2022,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,37,146,556,158,30,0,0
Census Tract 29.01; Multnomah County; Oregon!!Estimate,2022,"1,416",0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,19,121,122,344,757,34,0,0,0
Census Tract 29.02; Multnomah County; Oregon!!Estimate,2022,"1,866",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,54,351,547,772,99,26,0,0
Census Tract 29.03; Multnomah County; Oregon!!Estimate,2022,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,59,297,260,201,0,46,0,0
Census Tract 30; Multnomah County; Oregon!!Estimate,2022,"1,858",0,0,0,0,0,0,0,0,13,21,0,0,0,30,0,0,0,0,14,27,276,950,523,4,0,0
Census Tract 31; Multnomah County; Oregon!!Estimate,2022,"1,390",39,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,21,34,8,548,515,196,21,0
Census Tract 32; Multnomah County; Oregon!!Estimate,2022,"1,228",17,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,7,7,59,147,613,288,68,0,0
Census Tract 33.01; Multnomah County; Oregon!!Estimate,2022,548,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,22,13,10,124,284,68,17,0,0
Census Tract 33.02; Multnomah County; Oregon!!Estimate,2022,817,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,60,105,374,175,93,0,0
Census Tract 34.01; Multnomah County; Oregon!!Estimate,2022,796,0,0,0,0,0,0,11,0,8,0,9,0,0,0,0,0,9,0,29,35,84,421,180,10,0,0
Census Tract 34.02; Multnomah County; Oregon!!Estimate,2022,588,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,29,31,262,74,0,0,0
Census Tract 35.01; Multnomah County; Oregon!!Estimate,2022,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,100,95,470,64,33,0,0
Census Tract 35.02; Multnomah County; Oregon!!Estimate,2022,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,32,337,130,74,0,0
Census Tract 36.01; Multnomah County; Oregon!!Estimate,2022,"1,335",20,0,0,0,88,0,0,16,0,0,0,0,0,0,0,21,0,105,11,100,231,630,41,72,0,0
Census Tract 36.02; Multnomah County; Oregon!!Estimate,2022,"2,187",26,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,31,69,61,290,"1,343",350,0,0,0
Census Tract 36.03; Multnomah County; Oregon!!Estimate,2022,526,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,31,0,14,125,228,85,21,0,13
Census Tract 37.01; Multnomah County; Oregon!!Estimate,2022,"1,004",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,38,149,165,593,41,0,0,0
Census Tract 37.02; Multnomah County; Oregon!!Estimate,2022,748,5,0,0,0,0,0,0,34,0,0,0,0,0,0,0,4,0,0,0,31,113,330,154,77,0,0
Census Tract 38.01; Multnomah County; Oregon!!Estimate,2022,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,75,336,299,23,12,0,0
Census Tract 38.02; Multnomah County; Oregon!!Estimate,2022,868,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,9,108,278,426,29,0,0,0
Census Tract 38.03; Multnomah County; Oregon!!Estimate,2022,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,20,46,248,452,131,0,0,0
Census Tract 39.02; Multnomah County; Oregon!!Estimate,2022,"1,168",10,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,10,8,0,54,275,650,109,19,0,18
Census Tract 39.03; Multnomah County; Oregon!!Estimate,2022,621,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,27,69,261,252,0,0,0,0
Census Tract 39.04; Multnomah County; Oregon!!Estimate,2022,"1,336",5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,154,463,667,12,0,0,0
Census Tract 40.02; Multnomah County; Oregon!!Estimate,2022,"1,183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,159,365,551,93,3,0,0
Census Tract 40.03; Multnomah County; Oregon!!Estimate,2022,"1,575",14,0,0,0,0,0,0,0,0,0,23,0,14,19,13,23,0,53,103,103,900,295,15,0,0,0
Census Tract 41.02; Multnomah County; Oregon!!Estimate,2022,"1,664",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,25,0,107,57,476,527,327,93,0,0,40
Census Tract 41.03; Multnomah County; Oregon!!Estimate,2022,"1,226",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,22,372,444,310,12,0,0,0
Census Tract 41.04; Multnomah County; Oregon!!Estimate,2022,531,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,14,28,113,158,189,0,0,0,0
Census Tract 42; Multnomah County; Oregon!!Estimate,2022,902,5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,116,25,262,255,194,22,0,0,0
Census Tract 43; Multnomah County; Oregon!!Estimate,2022,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,57,107,88,98,34,0,0
Census Tract 45; Multnomah County; Oregon!!Estimate,2022,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44,193,84,235,32,6
Census Tract 46.01; Multnomah County; Oregon!!Estimate,2022,"1,360",7,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,47,100,260,276,361,239,46
Census Tract 46.02; Multnomah County; Oregon!!Estimate,2022,632,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0,15,6,16,10,109,130,188,84,53
Census Tract 47; Multnomah County; Oregon!!Estimate,2022,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,107,100,197,122,72,16
Census Tract 48; Multnomah County; Oregon!!Estimate,2022,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,98,27,50,47,11,22
Census Tract 49.01; Multnomah County; Oregon!!Estimate,2022,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,15,110,15,69,34,153,18,0
Census Tract 49.02; Multnomah County; Oregon!!Estimate,2022,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,30,0,51,0,0
Census Tract 50.01; Multnomah County; Oregon!!Estimate,2022,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,158,150,54,27,17,0
Census Tract 50.02; Multnomah County; Oregon!!Estimate,2022,161,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7,51,15,17,0,0,0,23,34,0,0
Census Tract 51.01; Multnomah County; Oregon!!Estimate,2022,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,64,82,101,207,169,23,29
Census Tract 51.02; Multnomah County; Oregon!!Estimate,2022,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,108,104,326,30,112,0,37
Census Tract 51.03; Multnomah County; Oregon!!Estimate,2022,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,151,0,30,0,49,0,0
Census Tract 52.01; Multnomah County; Oregon!!Estimate,2022,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,26,0,0,26,0,0,0,0,0
Census Tract 52.02; Multnomah County; Oregon!!Estimate,2022,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,161,36,169,14,29,0,14
Census Tract 55; Multnomah County; Oregon!!Estimate,2022,329,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,24,0,102,46,96,29,19,0,0
Census Tract 56.01; Multnomah County; Oregon!!Estimate,2022,289,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,51,47,114,37,0,0,0
Census Tract 56.02; Multnomah County; Oregon!!Estimate,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Census Tract 57.01; Multnomah County; Oregon!!Estimate,2022,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0
Census Tract 57.02; Multnomah County; Oregon!!Estimate,2022,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,180,168,327,52,28,17,0
Census Tract 58; Multnomah County; Oregon!!Estimate,2022,"1,184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,30,60,293,334,298,102,39
Census Tract 59.01; Multnomah County; Oregon!!Estimate,2022,309,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,27,0,0,25,187,61,0,0,0
Census Tract 59.02; Multnomah County; Oregon!!Estimate,2022,718,20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,11,95,270,169,70,59,0
Census Tract 59.03; Multnomah County; Oregon!!Estimate,2022,"1,049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,53,370,235,147,10,12,13
Census Tract 60.01; Multnomah County; Oregon!!Estimate,2022,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,30,102,183,60,12,8
Census Tract 60.02; Multnomah County; Oregon!!Estimate,2022,759,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,56,459,181,43,0,0
Census Tract 61; Multnomah County; Oregon!!Estimate,2022,842,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,56,264,304,182,10,3
Census Tract 62; Multnomah County; Oregon!!Estimate,2022,"1,079",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,39,165,590,219,34,0,13
Census Tract 63; Multnomah County; Oregon!!Estimate,2022,"1,568",0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,3,0,10,75,174,424,210,236,138,286
Census Tract 64.02; Multnomah County; Oregon!!Estimate,2022,"2,308",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,107,29,108,376,"1,034",412,191,11,10
Census Tract 64.03; Multnomah County; Oregon!!Estimate,2022,935,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,25,45,169,588,70,17,0,0
Census Tract 64.04; Multnomah County; Oregon!!Estimate,2022,"1,091",8,0,0,0,0,0,0,0,8,0,9,6,0,0,9,5,33,53,80,167,129,324,202,58,0,0
Census Tract 65.01; Multnomah County; Oregon!!Estimate,2022,"2,016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,152,402,"1,075",232,90,31,0
Census Tract 65.02; Multnomah County; Oregon!!Estimate,2022,"1,339",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,12,303,52,70,233,445,156,34,0,15
Census Tract 66.01; Multnomah County; Oregon!!Estimate,2022,"1,046",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,43,57,167,463,247,34,17,0
Census Tract 66.02; Multnomah County; Oregon!!Estimate,2022,"1,234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,15,0,0,115,155,613,221,90,0,0
Census Tract 67.01; Multnomah County; Oregon!!Estimate,2022,886,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,163,578,86,35,0,0
Census Tract 67.02; Multnomah County; Oregon!!Estimate,2022,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,7,24,161,471,106,21,0,0
Census Tract 68.01; Multnomah County; Oregon!!Estimate,2022,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,244,173,140,0,0
Census Tract 68.02; Multnomah County; Oregon!!Estimate,2022,"1,077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,475,347,165,0,10
Census Tract 69; Multnomah County; Oregon!!Estimate,2022,993,8,0,0,0,0,0,0,0,0,0,0,13,0,17,0,0,29,0,12,0,26,131,187,294,109,167
Census Tract 70.01; Multnomah County; Oregon!!Estimate,2022,"1,941",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,14,345,145,291,671,396,61,0
Census Tract 70.02; Multnomah County; Oregon!!Estimate,2022,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,14,38,170,261,253,120,62
Census Tract 71; Multnomah County; Oregon!!Estimate,2022,867,12,0,0,0,17,0,0,0,0,12,0,0,0,0,0,0,11,9,4,100,56,215,253,149,12,17
Census Tract 72.01; Multnomah County; Oregon!!Estimate,2022,"1,011",16,0,0,28,8,25,62,37,13,45,56,4,0,8,0,10,19,94,34,156,161,189,20,26,0,0
Census Tract 72.02; Multnomah County; Oregon!!Estimate,2022,860,0,0,19,0,29,0,0,10,0,0,12,0,0,24,12,0,12,0,18,139,278,239,19,28,12,9
Census Tract 73; Multnomah County; Oregon!!Estimate,2022,85,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,19,0,0,0,9,5,27,5,0,0
Census Tract 74; Multnomah County; Oregon!!Estimate,2022,721,10,18,55,0,0,0,0,7,0,0,0,17,0,0,0,0,0,0,41,116,101,328,14,9,0,5
Census Tract 75; Multnomah County; Oregon!!Estimate,2022,"1,191",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51,79,127,500,290,14,52,0,18
Census Tract 76; Multnomah County; Oregon!!Estimate,2022,924,78,7,0,0,0,0,0,0,0,0,31,0,0,0,0,0,62,10,9,146,354,186,22,19,0,0
Census Tract 77; Multnomah County; Oregon!!Estimate,2022,669,15,0,0,7,0,4,0,0,28,0,0,0,0,42,36,0,0,36,45,248,171,33,4,0,0,0
Census Tract 78; Multnomah County; Oregon!!Estimate,2022,503,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,11,32,92,163,184,0,0,0,0
Census Tract 79; Multnomah County; Oregon!!Estimate,2022,"1,000",0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,10,44,333,310,270,16,0,0,0
Census Tract 80.01; Multnomah County; Oregon!!Estimate,2022,923,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,7,15,63,40,438,226,105,0,16,0,0
Census Tract 80.02; Multnomah County; Oregon!!Estimate,2022,793,0,0,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,264,377,119,0,0,0,0
Census Tract 81; Multnomah County; Oregon!!Estimate,2022,"1,133",0,15,0,0,0,0,0,18,0,0,0,0,0,0,16,11,29,41,79,293,532,99,0,0,0,0
Census Tract 82.01; Multnomah County; Oregon!!Estimate,2022,715,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,35,15,15,110,308,224,0,0,0,0
Census Tract 82.03; Multnomah County; Oregon!!Estimate,2022,823,0,0,0,0,0,0,0,0,0,16,0,0,0,0,12,0,21,91,56,214,302,111,0,0,0,0
Census Tract 82.04; Multnomah County; Oregon!!Estimate,2022,643,0,0,0,0,0,0,0,0,67,0,0,0,0,41,0,0,15,44,11,326,103,36,0,0,0,0
Census Tract 83.01; Multnomah County; Oregon!!Estimate,2022,716,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,90,89,247,229,41,0,0,0,0
Census Tract 83.02; Multnomah County; Oregon!!Estimate,2022,955,40,16,0,0,0,0,7,0,27,0,0,0,0,0,0,0,0,28,125,472,212,28,0,0,0,0
Census Tract 84; Multnomah County; Oregon!!Estimate,2022,846,0,0,0,0,0,0,0,13,0,0,0,31,22,7,8,17,0,50,92,311,208,78,9,0,0,0
Census Tract 85; Multnomah County; Oregon!!Estimate,2022,949,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,45,114,423,222,92,36,0,0,0
Census Tract 86; Multnomah County; Oregon!!Estimate,2022,"1,000",128,0,9,0,0,0,11,0,0,0,0,0,0,0,0,0,7,33,42,448,194,64,64,0,0,0
Census Tract 87; Multnomah County; Oregon!!Estimate,2022,"1,219",10,0,0,0,0,0,9,27,0,0,0,0,0,0,0,25,0,85,67,507,233,218,38,0,0,0
Census Tract 88; Multnomah County; Oregon!!Estimate,2022,"1,116",0,0,0,0,0,8,0,0,0,0,0,0,0,0,22,0,0,79,33,372,435,158,0,0,0,9
Census Tract 89.02; Multnomah County; Oregon!!Estimate,2022,587,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,0,65,286,140,47,0,0,0
Census Tract 89.03; Multnomah County; Oregon!!Estimate,2022,"1,522",0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,9,0,0,35,286,419,666,79,0,0,0
Census Tract 89.04; Multnomah County; Oregon!!Estimate,2022,905,0,0,0,0,0,21,0,0,0,45,0,0,0,13,25,0,0,0,120,144,263,247,27,0,0,0
Census Tract 90.01; Multnomah County; Oregon!!Estimate,2022,"1,216",18,0,15,0,0,0,0,31,0,0,0,14,17,0,19,30,71,15,98,395,342,96,55,0,0,0
Census Tract 90.02; Multnomah County; Oregon!!Estimate,2022,587,0,0,0,0,0,0,0,0,17,0,0,49,0,0,0,0,0,11,33,242,185,50,0,0,0,0
Census Tract 91.01; Multnomah County; Oregon!!Estimate,2022,"1,181",82,0,0,27,0,0,0,0,2,0,0,0,41,13,54,51,12,69,109,261,288,172,0,0,0,0
Census Tract 91.02; Multnomah County; Oregon!!Estimate,2022,"1,697",0,50,0,0,37,0,0,11,0,12,0,13,0,30,32,155,0,136,78,386,504,253,0,0,0,0
Census Tract 92.02; Multnomah County; Oregon!!Estimate,2022,"1,065",0,0,0,27,0,0,0,0,0,0,0,0,0,35,0,0,0,131,122,412,242,77,11,0,0,8
Census Tract 92.03; Multnomah County; Oregon!!Estimate,2022,818,7,0,0,11,43,12,0,0,0,0,0,11,6,7,0,6,0,45,39,205,358,53,15,0,0,0
