Label (Grouping),Year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999","$250,000 to $299,999","$300,000 to $399,999","$400,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 to $1,499,999","$1,500,000 to $1,999,999","$2,000,000 or more"
"Census Tract 28.01, Multnomah County, Oregon",2019,"1,014",0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,9,0,0,29,127,302,438,77,15,0,0
"Census Tract 28.02, Multnomah County, Oregon",2019,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,36,234,264,401,28,0,0,0
"Census Tract 29.01, Multnomah County, Oregon",2019,"1,374",0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,98,181,470,432,166,0,0,0,8
"Census Tract 29.02, Multnomah County, Oregon",2019,"1,830",0,0,0,0,21,0,8,19,0,24,0,0,0,0,0,0,0,92,193,577,546,299,36,0,15,0
"Census Tract 29.03, Multnomah County, Oregon",2019,"1,265",16,0,0,0,22,0,0,0,25,0,0,0,0,52,0,12,0,148,333,511,138,0,8,0,0,0
"Census Tract 30, Multnomah County, Oregon",2019,"1,693",0,0,0,0,0,0,14,0,0,0,0,0,0,19,0,0,9,24,43,188,580,686,130,0,0,0
"Census Tract 31, Multnomah County, Oregon",2019,"1,385",27,0,0,0,0,8,0,0,0,0,0,0,0,9,8,0,9,8,48,167,215,530,304,38,0,14
"Census Tract 32, Multnomah County, Oregon",2019,"1,281",19,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,14,18,167,218,647,167,18,0,0
"Census Tract 33.01, Multnomah County, Oregon",2019,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,39,195,152,134,66,0,0,0
"Census Tract 33.02, Multnomah County, Oregon",2019,742,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,23,113,211,342,24,18,0,0
"Census Tract 34.01, Multnomah County, Oregon",2019,867,0,0,0,0,0,12,0,0,10,10,0,0,0,0,0,10,0,0,34,129,194,397,57,0,0,14
"Census Tract 34.02, Multnomah County, Oregon",2019,495,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,54,146,217,0,0,0,0
"Census Tract 35.01, Multnomah County, Oregon",2019,761,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,21,19,106,281,296,8,8,0,0
"Census Tract 35.02, Multnomah County, Oregon",2019,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,74,132,256,63,30,0,0
"Census Tract 36.01, Multnomah County, Oregon",2019,"1,356",8,0,21,0,16,0,0,0,24,0,0,10,0,0,11,45,25,125,89,352,332,269,29,0,0,0
"Census Tract 36.02, Multnomah County, Oregon",2019,"1,895",19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,45,55,370,546,729,112,0,0,0
"Census Tract 36.03, Multnomah County, Oregon",2019,535,5,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,24,17,30,102,159,162,11,6,0,6
"Census Tract 37.01, Multnomah County, Oregon",2019,"1,077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,11,69,64,365,384,151,17,0,0,0
"Census Tract 37.02, Multnomah County, Oregon",2019,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,54,97,130,283,39,0,0,6
"Census Tract 38.01, Multnomah County, Oregon",2019,830,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,20,19,57,378,172,130,32,8,0,0
"Census Tract 38.02, Multnomah County, Oregon",2019,862,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,42,86,286,241,171,11,0,0,15
"Census Tract 38.03, Multnomah County, Oregon",2019,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,89,162,355,297,0,0,0,0
"Census Tract 39.01, Multnomah County, Oregon",2019,"2,120",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,131,53,143,327,749,519,149,35,0,0,0
"Census Tract 39.02, Multnomah County, Oregon",2019,"1,010",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,24,28,282,318,311,22,11,0,4
"Census Tract 40.01, Multnomah County, Oregon",2019,"1,440",0,0,0,0,0,0,0,0,0,20,0,11,0,18,42,35,0,191,210,579,271,49,14,0,0,0
"Census Tract 40.02, Multnomah County, Oregon",2019,"1,137",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,86,300,357,364,6,0,0,0
"Census Tract 41.01, Multnomah County, Oregon",2019,"1,528",0,0,23,0,0,0,0,0,0,0,0,0,0,16,0,15,14,328,302,530,159,141,0,0,0,0
"Census Tract 41.02, Multnomah County, Oregon",2019,"1,560",12,0,0,0,0,0,0,0,0,0,0,0,0,0,13,43,91,80,229,518,410,148,0,0,0,16
"Census Tract 42, Multnomah County, Oregon",2019,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,41,79,114,324,168,31,0,0,0,0
"Census Tract 43, Multnomah County, Oregon",2019,360,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,22,36,42,87,89,42,29,0,0
"Census Tract 45, Multnomah County, Oregon",2019,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,42,142,164,107,0,7
"Census Tract 46.01, Multnomah County, Oregon",2019,"1,262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,13,92,97,298,351,303,77,17
"Census Tract 46.02, Multnomah County, Oregon",2019,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,6,24,37,122,171,181,66,70
"Census Tract 47, Multnomah County, Oregon",2019,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,117,193,235,114,46,6
"Census Tract 48, Multnomah County, Oregon",2019,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,15,165,48,29,34,11,0,22
"Census Tract 49, Multnomah County, Oregon",2019,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,60,76,88,120,47,24,0
"Census Tract 50, Multnomah County, Oregon",2019,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,63,0,0,16,188,188,144,52,40,8,5
"Census Tract 51, Multnomah County, Oregon",2019,"1,492",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,252,265,122,424,238,105,27,38
"Census Tract 52, Multnomah County, Oregon",2019,413,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14,9,62,19,90,132,54,13,0,0,0
"Census Tract 55, Multnomah County, Oregon",2019,275,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,12,50,65,67,19,0,14,8
"Census Tract 56, Multnomah County, Oregon",2019,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,65,50,31,49,80,6,0,0,0
"Census Tract 57, Multnomah County, Oregon",2019,655,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,208,177,127,25,42,17,0
"Census Tract 58, Multnomah County, Oregon",2019,"1,309",11,0,0,0,0,0,0,0,14,0,0,0,0,0,0,28,0,40,0,59,34,327,466,233,45,52
"Census Tract 59, Multnomah County, Oregon",2019,"1,932",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,39,82,305,403,768,186,109,14,14
"Census Tract 60.01, Multnomah County, Oregon",2019,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,25,81,142,106,23,11,0
"Census Tract 60.02, Multnomah County, Oregon",2019,628,7,0,0,0,0,0,0,5,0,0,0,0,0,0,8,12,6,6,0,96,94,296,94,4,0,0
"Census Tract 61, Multnomah County, Oregon",2019,822,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,47,90,418,208,9,0,9
"Census Tract 62, Multnomah County, Oregon",2019,"1,009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,245,214,443,54,9,0,7
"Census Tract 63, Multnomah County, Oregon",2019,"1,476",12,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,33,99,193,257,322,139,182,95,128
"Census Tract 64.02, Multnomah County, Oregon",2019,"1,969",16,0,12,0,0,0,0,0,0,0,0,0,0,14,16,0,0,35,0,260,487,823,242,44,20,0
"Census Tract 64.03, Multnomah County, Oregon",2019,964,0,0,0,0,0,0,0,0,0,0,0,10,0,10,35,10,18,26,37,322,252,235,9,0,0,0
"Census Tract 64.04, Multnomah County, Oregon",2019,"1,270",14,0,0,0,0,0,0,0,9,10,0,0,0,76,48,77,78,124,58,83,198,421,61,13,0,0
"Census Tract 65.01, Multnomah County, Oregon",2019,"2,135",0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,30,162,471,647,680,59,46,0,0
"Census Tract 65.02, Multnomah County, Oregon",2019,"1,167",0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,25,17,98,50,186,366,215,127,16,0,16
"Census Tract 66.01, Multnomah County, Oregon",2019,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,53,145,213,372,55,8,7,0
"Census Tract 66.02, Multnomah County, Oregon",2019,"1,269",0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,16,18,72,108,198,369,337,111,0,0,0
"Census Tract 67.01, Multnomah County, Oregon",2019,889,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,22,176,317,333,8,0,6,0
"Census Tract 67.02, Multnomah County, Oregon",2019,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,8,184,289,408,22,0,0,0
"Census Tract 68.01, Multnomah County, Oregon",2019,675,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,17,74,328,182,40,0,0
"Census Tract 68.02, Multnomah County, Oregon",2019,"1,152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,45,151,680,189,46,11,11
"Census Tract 69, Multnomah County, Oregon",2019,"1,042",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,21,20,24,141,193,282,183,69,90
"Census Tract 70, Multnomah County, Oregon",2019,"2,648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,82,272,142,735,806,321,172,82
"Census Tract 71, Multnomah County, Oregon",2019,901,12,0,0,0,0,0,13,0,12,0,0,0,0,0,13,37,11,56,41,118,51,235,158,114,23,7
"Census Tract 72.01, Multnomah County, Oregon",2019,882,53,0,16,41,0,35,9,43,23,21,32,26,0,17,8,58,79,42,43,119,111,98,0,8,0,0
"Census Tract 72.02, Multnomah County, Oregon",2019,819,11,0,10,18,0,32,0,16,27,21,9,0,0,33,21,39,23,84,65,186,117,88,9,10,0,0
"Census Tract 73, Multnomah County, Oregon",2019,78,0,0,0,0,0,0,0,0,0,5,0,0,7,5,12,0,5,0,6,22,5,0,11,0,0,0
"Census Tract 74, Multnomah County, Oregon",2019,639,24,19,24,0,0,0,8,0,0,0,0,0,0,12,0,22,19,70,46,116,121,157,1,0,0,0
"Census Tract 75, Multnomah County, Oregon",2019,"1,159",58,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,58,210,404,279,105,0,18,0,17
"Census Tract 76, Multnomah County, Oregon",2019,843,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,55,54,131,69,276,135,22,21,0,0,0
"Census Tract 77, Multnomah County, Oregon",2019,650,23,0,11,6,2,0,0,0,7,0,0,3,0,19,17,14,39,169,89,223,24,4,0,0,0,0
"Census Tract 78, Multnomah County, Oregon",2019,491,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,6,52,107,173,82,49,0,0,0,0
"Census Tract 79, Multnomah County, Oregon",2019,900,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,29,61,137,90,452,48,56,0,0,0,0
"Census Tract 80.01, Multnomah County, Oregon",2019,671,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,23,78,71,79,295,68,3,24,0,0,15
"Census Tract 80.02, Multnomah County, Oregon",2019,786,7,0,0,0,0,0,0,0,0,0,8,0,0,0,34,20,17,137,131,388,44,0,0,0,0,0
"Census Tract 81, Multnomah County, Oregon",2019,"1,155",0,0,0,0,0,0,0,0,0,33,0,0,0,22,25,34,99,103,150,449,240,0,0,0,0,0
"Census Tract 82.01, Multnomah County, Oregon",2019,652,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37,41,41,73,266,140,35,0,0,0,7
"Census Tract 82.02, Multnomah County, Oregon",2019,"1,324",0,14,0,14,0,37,0,0,0,0,0,0,0,14,35,51,16,341,342,388,51,0,0,21,0,0
"Census Tract 83.01, Multnomah County, Oregon",2019,560,7,0,9,0,0,0,0,0,13,0,0,0,0,11,9,15,20,111,131,190,34,10,0,0,0,0
"Census Tract 83.02, Multnomah County, Oregon",2019,919,18,18,0,10,0,0,0,0,0,0,10,0,0,0,53,44,19,210,156,353,28,0,0,0,0,0
"Census Tract 84, Multnomah County, Oregon",2019,765,0,0,0,0,0,0,0,8,0,0,12,8,0,27,50,121,10,213,150,101,65,0,0,0,0,0
"Census Tract 85, Multnomah County, Oregon",2019,993,0,7,0,0,0,0,0,7,0,0,0,8,0,16,78,18,41,253,194,306,0,65,0,0,0,0
"Census Tract 86, Multnomah County, Oregon",2019,930,32,21,0,9,6,12,0,0,0,9,0,0,0,0,8,60,139,181,119,297,37,0,0,0,0,0
"Census Tract 87, Multnomah County, Oregon",2019,"1,242",10,0,0,8,0,0,8,0,0,0,0,0,7,30,9,76,61,115,226,452,201,27,12,0,0,0
"Census Tract 88, Multnomah County, Oregon",2019,"1,203",0,0,0,0,0,0,0,0,0,0,0,0,0,52,16,73,41,246,246,355,106,39,0,0,0,29
"Census Tract 89.01, Multnomah County, Oregon",2019,"2,582",15,18,0,0,0,0,23,17,0,88,0,0,0,55,20,71,93,158,303,790,596,242,46,40,0,7
"Census Tract 89.02, Multnomah County, Oregon",2019,637,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,53,32,76,73,192,147,24,15,0,0,0
"Census Tract 90, Multnomah County, Oregon",2019,"1,696",76,28,0,0,0,0,0,16,16,0,40,0,17,0,0,71,34,344,432,482,113,27,0,0,0,0
"Census Tract 91.01, Multnomah County, Oregon",2019,937,53,7,12,17,0,0,0,0,0,11,0,0,0,60,43,28,32,199,199,229,47,0,0,0,0,0
"Census Tract 91.02, Multnomah County, Oregon",2019,"1,441",0,0,0,0,26,0,19,36,0,0,0,0,14,0,24,90,111,230,258,478,134,0,21,0,0,0
"Census Tract 92.01, Multnomah County, Oregon",2019,"1,406",11,17,13,77,39,0,20,0,0,0,0,0,0,0,70,137,61,244,272,357,72,3,0,0,0,13
"Census Tract 92.02, Multnomah County, Oregon",2019,"1,050",0,0,25,0,0,0,0,0,0,11,10,0,0,41,7,70,137,248,212,242,16,13,0,0,0,18
"Census Tract 93.01, Multnomah County, Oregon",2019,840,0,0,0,0,19,0,0,23,0,0,0,0,0,11,13,44,21,46,203,306,135,19,0,0,0,0
"Census Tract 93.02, Multnomah County, Oregon",2019,902,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,19,38,240,174,344,56,23,0,0,0,0
"Census Tract 94, Multnomah County, Oregon",2019,"2,329",0,0,16,0,0,0,17,0,0,0,0,0,0,18,125,84,116,273,407,998,206,55,14,0,0,0
"Census Tract 95.01, Multnomah County, Oregon",2019,"1,178",0,0,9,0,7,0,0,0,10,6,11,11,0,0,38,52,11,211,131,318,335,28,0,0,0,0
"Census Tract 95.02, Multnomah County, Oregon",2019,886,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,16,0,97,142,459,127,22,0,0,0,0
"Census Tract 96.03, Multnomah County, Oregon",2019,819,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,29,35,162,306,281,0,0,0,0,0,0
"Census Tract 96.04, Multnomah County, Oregon",2019,872,7,0,0,19,0,9,0,27,9,9,9,0,0,0,59,101,103,129,287,104,0,0,0,0,0,0
"Census Tract 96.05, Multnomah County, Oregon",2019,"1,049",0,0,0,0,18,0,0,0,0,0,0,0,0,23,0,31,39,89,198,475,151,25,0,0,0,0
"Census Tract 96.06, Multnomah County, Oregon",2019,603,43,0,0,0,0,6,0,0,0,0,0,0,0,0,13,31,67,157,172,95,12,7,0,0,0,0
"Census Tract 97.01, Multnomah County, Oregon",2019,"1,071",0,0,0,0,0,0,0,0,0,0,0,10,9,10,6,81,83,246,374,227,13,12,0,0,0,0
"Census Tract 97.02, Multnomah County, Oregon",2019,"2,005",209,15,15,42,0,0,16,0,0,0,0,0,0,58,37,123,268,276,543,388,15,0,0,0,0,0
"Census Tract 98.01, Multnomah County, Oregon",2019,493,17,35,0,0,0,0,9,8,0,0,9,0,0,7,48,27,117,64,54,98,0,0,0,0,0,0
"Census Tract 98.03, Multnomah County, Oregon",2019,"1,229",12,0,0,0,11,0,0,0,15,0,0,0,0,31,8,63,163,152,367,394,0,0,0,13,0,0
"Census Tract 98.04, Multnomah County, Oregon",2019,722,0,0,0,0,10,10,0,0,0,14,0,0,0,0,27,59,11,138,118,289,23,9,14,0,0,0
"Census Tract 99.03, Multnomah County, Oregon",2019,"1,979",0,0,0,0,24,0,15,13,0,0,0,0,0,0,0,0,39,250,222,671,559,140,25,0,0,21
"Census Tract 99.04, Multnomah County, Oregon",2019,815,15,0,0,0,0,0,0,0,0,19,11,0,28,33,17,52,28,134,150,280,48,0,0,0,0,0
"Census Tract 99.05, Multnomah County, Oregon",2019,930,10,0,0,36,0,0,0,8,0,0,0,0,0,16,0,9,53,178,186,399,24,11,0,0,0,0
"Census Tract 99.06, Multnomah County, Oregon",2019,"1,161",8,0,0,0,0,0,0,0,0,0,0,14,0,0,17,0,35,101,131,451,322,82,0,0,0,0
"Census Tract 99.07, Multnomah County, Oregon",2019,"1,511",0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,63,76,153,226,354,202,321,48,49,0,0
"Census Tract 100.01, Multnomah County, Oregon",2019,711,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,63,95,98,177,151,76,0,0,0,0,15
"Census Tract 100.02, Multnomah County, Oregon",2019,"1,232",17,0,0,20,0,0,0,0,0,0,0,0,10,8,0,91,11,208,268,413,159,11,16,0,0,0
"Census Tract 101, Multnomah County, Oregon",2019,"1,692",63,17,22,34,31,32,0,0,16,0,16,0,0,21,22,75,51,218,605,403,66,0,0,0,0,0
"Census Tract 102, Multnomah County, Oregon",2019,"1,872",80,72,35,56,123,115,14,17,21,0,26,47,16,9,0,13,25,175,232,459,125,198,0,0,0,14
"Census Tract 103.03, Multnomah County, Oregon",2019,"1,079",12,0,14,20,0,0,18,0,16,0,0,0,13,13,29,0,26,152,177,504,53,9,0,0,0,23
"Census Tract 103.04, Multnomah County, Oregon",2019,705,7,0,50,28,81,28,7,21,7,0,0,0,0,8,22,0,37,70,86,180,61,12,0,0,0,0
"Census Tract 103.05, Multnomah County, Oregon",2019,"1,057",0,7,0,17,20,14,0,45,5,26,7,16,0,0,0,0,28,237,188,402,11,26,0,8,0,0
"Census Tract 103.06, Multnomah County, Oregon",2019,"1,111",0,0,7,15,0,0,0,0,0,0,0,0,28,0,0,0,34,176,256,444,131,20,0,0,0,0
"Census Tract 104.02, Multnomah County, Oregon",2019,"1,664",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,75,184,425,353,436,119,44,0,0
"Census Tract 104.05, Multnomah County, Oregon",2019,"1,048",0,19,0,0,19,0,0,0,0,0,0,0,0,16,0,0,57,217,275,374,24,47,0,0,0,0
"Census Tract 104.07, Multnomah County, Oregon",2019,"1,166",0,0,7,0,0,0,7,0,0,0,0,0,0,0,7,16,64,100,174,546,119,55,63,0,0,8
"Census Tract 104.08, Multnomah County, Oregon",2019,"1,082",45,52,46,0,69,0,109,65,0,0,0,0,9,11,25,8,0,153,139,271,70,10,0,0,0,0
